,beta,tstat,r2,subject,model,model_ix,method,preproc,event_type
0,0.9813127731627621,2.9564074610305644,0.3268598460833031,008,linear,0,raw,uncorr,center
0,-0.398324975641286,-1.4044216734496038,0.39684054343559483,008,camel,1,raw,uncorr,center
0,-1.791440047089817,-2.029121992642778,0.6069516859828383,008,camel_deriv,2,raw,uncorr,center
1,0.6780749308595131,3.0111427577555308,0.3349830853148392,010,linear,0,raw,uncorr,center
1,0.46993782967237197,2.792047134919282,0.5440594000356105,010,camel,1,raw,uncorr,center
1,0.32064792458709285,0.5661958859817305,0.6528621432955606,010,camel_deriv,2,raw,uncorr,center
2,0.7801781214626108,5.757144226226252,0.6480574408155471,011,linear,0,raw,uncorr,center
2,0.12730941058330114,1.0755632287793042,0.6704809460879306,011,camel,1,raw,uncorr,center
2,0.15983089841562548,0.7142198153921774,0.9207873237423134,011,camel_deriv,2,raw,uncorr,center
3,2.3113370283635994,19.01516920225792,0.952578749151924,013,linear,0,raw,uncorr,center
3,-0.23808106619986402,-2.551791972045761,0.9657122520320912,013,camel,1,raw,uncorr,center
3,-0.714698559316273,-2.4211917412810435,0.9769180333598126,013,camel_deriv,2,raw,uncorr,center
4,-0.340122543189642,-1.4634156666677551,0.10632655620141429,014,linear,0,raw,uncorr,center
4,-0.1464232659332873,-0.7081440641659213,0.1319329023701068,014,camel,1,raw,uncorr,center
4,-0.39054101013454157,-0.5682759178387132,0.35509354031030627,014,camel_deriv,2,raw,uncorr,center
5,2.0434344837808225,16.681645178714422,0.939246102018136,022,linear,0,raw,uncorr,center
5,0.10309028960798883,0.9571037848253772,0.9423524492910322,022,camel,1,raw,uncorr,center
5,0.809313419982549,2.3867066728417234,0.9615758399182486,022,camel_deriv,2,raw,uncorr,center
0,-3.08047849239545,-5.699145218879997,0.6434249477764956,008,linear,0,raw,uncorr,"medium
annulus"
0,0.3993070031486501,0.8350131864397311,0.6574735109689329,008,camel,1,raw,uncorr,"medium
annulus"
0,-1.7718450946977264,-1.0807383640321917,0.7292409839919751,008,camel_deriv,2,raw,uncorr,"medium
annulus"
1,-0.01605965441384198,-0.10346493771260477,0.000594368368136422,010,linear,0,raw,uncorr,"medium
annulus"
1,0.1559877970635722,1.1562529206642826,0.07345972054302785,010,camel,1,raw,uncorr,"medium
annulus"
1,1.0462484634846732,3.1040544039113955,0.6110396398941569,010,camel_deriv,2,raw,uncorr,"medium
annulus"
2,-1.0510583806733789,-5.414617089537565,0.6195957089823079,011,linear,0,raw,uncorr,"medium
annulus"
2,0.3823606190869516,2.5718418644201346,0.7261467153400583,011,camel,1,raw,uncorr,"medium
annulus"
2,1.1107374421965661,6.103612073703699,0.9724059956836852,011,camel_deriv,2,raw,uncorr,"medium
annulus"
3,-0.2971026123931229,-1.4032181507230688,0.09860379038692246,013,linear,0,raw,uncorr,"medium
annulus"
3,-0.2892489909512092,-1.6269765299221308,0.22004914157617117,013,camel,1,raw,uncorr,"medium
annulus"
3,-0.3151635496902111,-0.6613784234332677,0.623154252610597,013,camel_deriv,2,raw,uncorr,"medium
annulus"
4,0.5787199337583231,7.249421002111509,0.7448766441835891,014,linear,0,raw,uncorr,"medium
annulus"
4,0.17324452938767396,2.9592887558741965,0.8316173704372378,014,camel,1,raw,uncorr,"medium
annulus"
4,0.5604377681918825,2.7234077014273317,0.8600773668116488,014,camel_deriv,2,raw,uncorr,"medium
annulus"
5,-0.41146376615616836,-4.267255494832036,0.5028924679277081,022,linear,0,raw,uncorr,"medium
annulus"
5,-0.09967038028093357,-1.192011644787908,0.5412367568991139,022,camel,1,raw,uncorr,"medium
annulus"
5,0.13619019907422839,0.6544859835506336,0.8089205533970063,022,camel_deriv,2,raw,uncorr,"medium
annulus"
0,0.4584095663593209,0.6982461038816846,0.026371676306959024,008,linear,0,raw,uncorr,"large
annulus"
0,1.2774888651717526,2.5287955063068437,0.29250616574728905,008,camel,1,raw,uncorr,"large
annulus"
0,1.6812094733952676,1.3583155955853126,0.7143832299951554,008,camel_deriv,2,raw,uncorr,"large
annulus"
1,0.4987163979455731,2.329469925900687,0.23163709127887622,010,linear,0,raw,uncorr,"large
annulus"
1,0.4426426342945964,2.754601736508452,0.4687547025433684,010,camel,1,raw,uncorr,"large
annulus"
1,0.7424498856135762,1.4186918453274375,0.6210604112953397,010,camel_deriv,2,raw,uncorr,"large
annulus"
2,0.8282817928503035,3.7079771453391444,0.4330546972252103,011,linear,0,raw,uncorr,"large
annulus"
2,-0.09719729041728736,-0.4853645299424661,0.44080379893978505,011,camel,1,raw,uncorr,"large
annulus"
2,-1.3421632571743258,-1.9871452304054342,0.572191877469449,011,camel_deriv,2,raw,uncorr,"large
annulus"
3,0.08642145020403053,0.38814769656972603,0.008300449993987824,013,linear,0,raw,uncorr,"large
annulus"
3,-0.45024638035616704,-2.6684754042506356,0.30106299872044595,013,camel,1,raw,uncorr,"large
annulus"
3,-2.403613272672261,-5.857240280123357,0.7219565473498584,013,camel_deriv,2,raw,uncorr,"large
annulus"
4,-0.01992645363429238,-0.5153313165781115,0.014539180473631341,014,linear,0,raw,uncorr,"large
annulus"
4,0.06297193480206098,2.0064152577860024,0.2032211917010711,014,camel,1,raw,uncorr,"large
annulus"
4,-0.02578774649075843,-0.3853978668151684,0.7564438494644307,014,camel_deriv,2,raw,uncorr,"large
annulus"
5,0.7924681653295781,6.151472448646464,0.6776539701012615,022,linear,0,raw,uncorr,"large
annulus"
5,0.200885432857561,1.902511566169862,0.7342385047521728,022,camel,1,raw,uncorr,"large
annulus"
5,0.9840332458858022,3.7069244816554683,0.8870340831763165,022,camel_deriv,2,raw,uncorr,"large
annulus"
0,2.1350822461707155,8.142872926362106,0.7864930257016557,001,linear,0,raw,corr,center
