subject,event_type,vox,magnitude,magnitude_ix,fwhm,fwhm_obj,time_to_peak,half_rise_time,half_max,rise_slope,onset_time,positive_area,undershoot,1st_deriv_magnitude,1st_deriv_time_to_peak,2nd_deriv_magnitude,2nd_deriv_time_to_peak
001,act,0,3.5418309545803472,1476,4.379124193370833,<linescanning.fitting.FWHM object at 0x7fae2349c730>,5.7490000000000006,3.7414555293164153,1.7709154772901736,1.42416628404302,2.5033322897221355,15.367958152541409,5.27697166721801,-0.1321912383894972,1.1395000000000004,-0.20854158224226715,0.7142500000000003
001,act,1,3.43534781779861,1488,4.361280541352212,<linescanning.fitting.FWHM object at 0x7fae140deb20>,5.812,3.8207083522601972,1.717673908899305,1.404326671003903,2.604562993872317,14.823474574083349,5.0904175509898595,-0.16940004585881052,1.2025000000000001,-0.2522502838508238,0.7457500000000001
001,act,2,3.6520298637367974,1464,4.395596157529933,<linescanning.fitting.FWHM object at 0x7fae206d3cd0>,5.686000000000001,3.6655527316395866,1.8260149318683987,1.4465695344732823,2.4071736489537305,15.928668989455048,5.466320855510964,-0.09944785407670409,1.0660000000000003,-0.1677457886653606,0.6775000000000002
001,act,3,3.882927601155617,1441,4.423789159431228,<linescanning.fitting.FWHM object at 0x7fae206d39a0>,5.565250000000001,3.5244428589218844,1.9414638005778084,1.4993373744822147,2.2310089205996575,17.08941180267097,5.852882427315271,1.5720900065532248,3.5020000000000007,-0.09682329593484029,0.5830000000000002
001,act,4,3.463235124565903,1443,4.422044049605622,<linescanning.fitting.FWHM object at 0x7fae206d3070>,5.57575,3.5338007409519405,1.7316175622829515,1.3395579771924697,2.2426560128579096,15.233687114257478,5.218147037457216,1.4041813497133546,3.50725,-0.09068192464706692,0.5935000000000001
001,act,5,2.8263871909197755,1455,4.406714243886201,<linescanning.fitting.FWHM object at 0x7fae140ccf10>,5.638750000000001,3.61207415132389,1.4131935954598878,1.1080838355838294,2.339652876523068,12.371325530711626,4.242777015754897,-0.05933977422368697,1.0082500000000003,-0.10588458503900755,0.6460000000000004
001,act,6,2.3098313775807595,1458,4.403373323745608,<linescanning.fitting.FWHM object at 0x7fae140ccee0>,5.6545000000000005,3.628377965077581,1.1549156887903798,0.9082816682291328,2.3600955731470576,10.099519242038246,3.4644023747641346,-0.052701067951821834,1.0292500000000002,-0.09235404231863953,0.6565000000000003
001,act,7,2.1651246964040265,1407,4.455363616587343,<linescanning.fitting.FWHM object at 0x7fae206d30a0>,5.38675,3.3215790847067272,1.0825623482020132,0.8144066375686864,1.9912102423244153,9.625995654244734,3.2853514715413037,0.8553958845395186,3.3287500000000003,0.5383062424890852,2.074
001,act,8,2.068556454158599,1346,4.462969791298432,<linescanning.fitting.FWHM object at 0x7fae140cc700>,5.0665000000000004,2.99079601011094,1.0342782270792994,0.7729149095799107,1.6508695715707769,9.21965504358265,3.14394237217659,0.8125181807716899,3.0032500000000004,0.5051025503548345,1.7537500000000001
001,act,9,1.9065721408803846,1331,4.453491926366878,<linescanning.fitting.FWHM object at 0x7fae140f0df0>,4.98775,2.923941699287639,0.9532860704401923,0.716599535394368,1.592249816204779,8.477129581430486,2.8940400427010173,0.7528590297802964,2.9350000000000005,0.47314804290211754,1.6855000000000002
001,act,10,1.710448537880375,1336,4.457081389088273,<linescanning.fitting.FWHM object at 0x7fae206d3e50>,5.014,2.945418072682059,0.8552242689401875,0.641470988071603,1.6105760777760652,7.612022394872634,2.5975793995038816,0.6740883105219382,2.9560000000000004,0.4219529027776474,1.7065000000000001
001,act,11,1.48176142464093,1365,4.468846139694612,<linescanning.fitting.FWHM object at 0x7fae140f0dc0>,5.166250000000001,3.0896448992081624,0.740880712320465,0.5516341580369245,1.7445071455287946,6.614613292161513,2.2539409004974007,0.579990738504307,3.10825,0.3578491852580221,1.8535000000000004
001,act,12,1.2293295652366472,1481,4.371582800884466,<linescanning.fitting.FWHM object at 0x7fae140ccb50>,5.775250000000001,3.7752451219858116,0.6146647826183236,0.49774984593739624,2.546404079490052,5.321497736001443,1.8274631955010716,-0.05194967142316731,1.16575,-0.07985703839339031,0.73
001,act,13,1.1049503475694702,1600,4.198688606539139,<linescanning.fitting.FWHM object at 0x7fae140e2550>,6.4,4.548651082452831,0.5524751737847351,0.531247043648378,3.5272937555787105,4.549274616671191,1.4991089228595575,-0.2407553653267236,1.57525,-0.27310295153700004,0.9242500000000002
001,act,14,1.0567606889993588,1528,4.300413353000163,<linescanning.fitting.FWHM object at 0x7fae140e27f0>,6.022,4.082233637612687,0.5283803444996794,0.4579579244904891,2.9403878384151305,4.477276808551151,1.5300582575932133,-0.10388273813455307,1.37575,-0.13513655583259698,0.8297500000000002
001,act,15,1.1784936863854663,1356,4.46709868305704,<linescanning.fitting.FWHM object at 0x7fae140e06d0>,5.119000000000001,3.0419240966220547,0.5892468431927331,0.43934830066779446,1.6988577377917746,5.258314403853318,1.7921925996359718,0.4617817289939268,3.0557500000000006,0.28558095738332057,1.8062500000000004
001,act,16,1.3408779053089654,1256,4.319005314406574,<linescanning.fitting.FWHM object at 0x7fae140e2190>,4.594,2.6135597795028467,0.6704389526544827,0.5349326903315147,1.3610017116815352,5.773680286456962,2.004744390178092,0.5617298014932999,2.599,0.3889299346989965,1.4177500000000003
001,act,17,1.0320782981531837,1316,4.437150200711512,<linescanning.fitting.FWHM object at 0x7fae140e0fd0>,4.909000000000001,2.851854818451622,0.5160391490765919,0.3913560747587524,1.5323390192783786,4.570339714162857,1.563334170863244,0.4110297949141213,2.85625,0.2626430005695255,1.612
001,act,18,0.7689697110168379,1417,4.447890007136449,<linescanning.fitting.FWHM object at 0x7fae140e0be0>,5.43925,3.3785919872129244,0.38448485550841893,0.2909844273923071,2.056703768543789,3.4107173183487904,1.1651307962514246,0.30548404422277287,3.3812500000000005,0.19440661931655967,2.12125
001,act,19,0.8925447990708852,1360,4.468155817822044,<linescanning.fitting.FWHM object at 0x7fae140f0d90>,5.140000000000001,3.064299721800528,0.4462723995354426,0.3325320961680301,1.7202855222192721,3.9835811880582894,1.3575401313746172,0.34951068360630444,3.0820000000000007,0.2158479781109115,1.8272500000000003
001,suppr_1,0,2.206377060424662,1665,4.131623883899634,<linescanning.fitting.FWHM object at 0x7fae140cc3a0>,6.741250000000001,4.957545914805614,1.103188530212331,1.1456582163038336,4.0167661950536075,8.926072753690994,2.732537148221072,-0.7847198402689415,1.6960000000000002,-0.8278684395726259,0.97675
001,suppr_1,1,2.577382135595901,1658,4.13683038420198,<linescanning.fitting.FWHM object at 0x7fae140e12b0>,6.704500000000001,4.91828800040957,1.2886910677979504,1.3289731775099487,3.9703617108271585,10.440621755678453,3.225689669636935,-0.8791107296936289,1.6855000000000002,-0.9328947103374077,0.9715000000000003
001,suppr_1,2,1.8363322681763274,1674,4.124983883069008,<linescanning.fitting.FWHM object at 0x7fae140e1490>,6.788500000000001,5.011243836181526,0.9181661340881637,0.9621657254283069,4.07927007394065,7.416850353759998,2.24031202892651,-0.6905685519065372,1.7065000000000001,-0.7229462393338935,0.9820000000000002
001,suppr_1,3,1.1024825155309912,1707,4.1053941927053845,<linescanning.fitting.FWHM object at 0x7fae206d7160>,6.96175,5.211595986574714,0.5512412577654956,0.5964313838875213,4.3107577948387465,4.432516955128773,1.2621038327432301,-0.5036758329655342,1.7537500000000001,-0.513686732727848,1.0030000000000001
001,suppr_1,4,1.2051853232115644,1674,4.124333058878683,<linescanning.fitting.FWHM object at 0x7fae140e15b0>,6.788500000000001,5.016769824774979,0.6025926616057822,0.6321327151263257,4.085878190927284,4.866910757291371,1.4679768689810762,-0.4557842867104043,1.7065000000000001,-0.47678747757642626,0.9820000000000002
001,suppr_1,5,1.6047364726482152,1633,4.1603783550351,<linescanning.fitting.FWHM object at 0x7fae140e0dc0>,6.57325,4.761562442462813,0.8023682363241076,0.8040236555514912,3.7842281612857764,6.539981007170048,2.086159450351988,-0.45856696144288733,1.6435000000000004,-0.4991563177140854,0.9505000000000003
001,suppr_1,6,1.8125878765279873,1608,4.188952455414276,<linescanning.fitting.FWHM object at 0x7fae11b58c40>,6.442,4.599462439899828,0.9062939382639936,0.8800044305449275,3.5886955420892392,7.443177272038964,2.436309808779399,-0.4229218833645483,1.5910000000000002,-0.4746510022710346,0.9295
001,suppr_1,7,1.4115272373550105,1583,4.220977576877242,<linescanning.fitting.FWHM object at 0x7fae206d7760>,6.3107500000000005,4.438198019288617,0.7057636186775053,0.6622012385171259,3.3897295213580656,5.8469853448997515,1.951046736317966,-0.26249159062046346,1.5385000000000004,-0.3054148311970337,0.9032500000000003
001,suppr_1,8,1.0237978437142505,1533,4.2921993390572215,<linescanning.fitting.FWHM object at 0x7fae140e1460>,6.048250000000001,4.117550511528544,0.5118989218571253,0.44724455951868675,2.985553017848117,4.327241542323281,1.476743811748699,-0.10847123643144219,1.3967500000000004,-0.13916739050637705,0.8402500000000002
001,suppr_1,9,0.8150883023957132,1584,4.219006285209072,<linescanning.fitting.FWHM object at 0x7fae140e0f10>,6.316000000000001,4.44768596165579,0.4075441511978566,0.3834049433872915,3.4020779883554484,3.374513831473409,1.1249287702768207,-0.15373973757230885,1.5385000000000004,-0.17846921176752595,0.9085000000000001
001,suppr_1,10,0.7109850207656179,1683,4.118394520830376,<linescanning.fitting.FWHM object at 0x7fae206d72e0>,6.835750000000001,5.069772852937873,0.35549251038280893,0.37639873152253234,4.148010481058507,2.8670577969684112,0.8525030518950023,-0.28361217429493735,1.7222500000000003,-0.29453154916302005,0.9872500000000004
001,suppr_1,11,0.6735817994058024,1742,4.094555035184568,<linescanning.fitting.FWHM object at 0x7fae140de940>,7.1455,5.417468729496077,0.3367908997029012,0.3744174153291986,4.542201820708476,2.702757608860876,0.712163935214092,-0.36870969740342474,1.7957500000000004,-0.36736612290925663,1.0187500000000003
001,suppr_1,12,0.7032924246449583,1686,4.116316838476554,<linescanning.fitting.FWHM object at 0x7fae140dedc0>,6.8515,5.089657517371349,0.35164621232247917,0.3733452960803962,4.170732478194736,2.834638193610578,0.8381392231858332,-0.2861024101691214,1.7275,-0.2963279291657823,0.9872500000000004
001,suppr_1,13,0.750780262176574,1629,4.165020113346852,<linescanning.fitting.FWHM object at 0x7fae235bcf70>,6.552250000000001,4.733582068865132,0.375390131088287,0.37447866162082394,3.7516415883079484,3.0634670285771826,0.9820536622621014,-0.20748578210887025,1.633,-0.22697100126922898,0.9505000000000003
001,suppr_1,14,0.5549677636118513,1685,4.117160307346354,<linescanning.fitting.FWHM object at 0x7fae140de580>,6.846250000000001,5.081483628448953,0.27748388180592565,0.2938320156919386,4.159931749635792,2.237260854149756,0.6630496183162669,-0.22395442503921004,1.7222500000000003,-0.2322128638931904,0.9872500000000004
001,suppr_1,15,-0.4659095899417342,987,2.6610881463949605,<linescanning.fitting.FWHM object at 0x7fae206f9730>,3.18175,1.8736211042243198,-0.2329547949708671,-0.26917849086493134,1.005908919347342,-1.225491775306431,1.3526012449235358,-0.2828358529209183,1.8955000000000002,-0.2667878831760593,1.06075
001,suppr_1,16,-0.6096443667018243,1031,3.005925453769871,<linescanning.fitting.FWHM object at 0x7fae235bc970>,3.41275,1.9803872303076886,-0.30482218335091216,-0.32828822758500675,1.0506290517642325,-1.8172698728905097,1.2095946479672852,-0.3446609523251034,1.9900000000000002,-0.30994434073379296,1.1027500000000003
