subject,event_type,epoch,gm
001,act,0,2.577027
001,act,1,1.4887625
001,act,2,2.1818018
001,act,3,2.703248
001,act,4,1.5575669
001,act,5,1.4825077
001,act,6,1.94715
001,act,7,0.118095525
001,act,8,2.4768028
001,act,9,2.086105
001,suppr_1,0,0.8451793
001,suppr_1,1,0.09239684
001,suppr_1,2,1.1103832
001,suppr_1,3,0.1745811
001,suppr_1,4,0.08312001
001,suppr_1,5,0.8697457
001,suppr_1,6,1.6477556
001,suppr_1,7,0.19389457
001,suppr_1,8,0.44580308
001,suppr_1,9,1.1710999
001,suppr_2,0,0.16246645
001,suppr_2,1,-0.77996385
001,suppr_2,2,-0.11291971
001,suppr_2,3,-0.053716954
001,suppr_2,4,0.5256732
001,suppr_2,5,0.7371743
001,suppr_2,6,0.83452183
001,suppr_2,7,0.2812999
001,suppr_2,8,0.16037579
001,suppr_2,9,-0.49238577
002,act,0,0.6368119
002,act,1,1.5041854
002,act,2,1.4976097
002,act,3,0.95438147
002,act,4,1.4806012
002,act,5,1.3554054
002,act,6,0.8334042
002,act,7,1.8558599
002,act,8,1.7146583
002,act,9,1.5934676
002,suppr_1,0,0.8909278
002,suppr_1,1,-0.031539906
002,suppr_1,2,0.52111834
002,suppr_1,3,0.2462034
002,suppr_1,4,0.765241
002,suppr_1,5,0.9154147
002,suppr_1,6,0.85035074
002,suppr_1,7,0.3871461
002,suppr_1,8,1.1020706
002,suppr_1,9,-0.33761826
002,suppr_2,0,-0.50936425
002,suppr_2,1,0.43710724
002,suppr_2,2,0.054497186
002,suppr_2,3,0.11619485
002,suppr_2,4,0.25008017
002,suppr_2,5,0.16457978
002,suppr_2,6,-0.1677275
002,suppr_2,7,0.46884948
002,suppr_2,8,1.1995184
002,suppr_2,9,0.33714107
005,act,0,0.32146966
005,act,1,0.5021241
005,act,2,0.64185226
005,act,3,0.58907026
005,act,4,0.2586834
005,act,5,0.798874
005,act,6,0.5024705
005,act,7,0.61576164
005,act,8,0.8225489
005,act,9,0.5450286
005,suppr_1,0,-0.2463262
005,suppr_1,1,0.19277085
005,suppr_1,2,-0.17630582
005,suppr_1,3,-0.20285112
005,suppr_1,4,0.13336487
005,suppr_1,5,-0.19932307
005,suppr_1,6,-0.12961043
005,suppr_1,7,-0.093517765
005,suppr_1,8,-0.036740642
005,suppr_1,9,0.085682936
005,suppr_2,0,-0.5050112
005,suppr_2,1,-0.55134094
005,suppr_2,2,-0.12668411
005,suppr_2,3,0.009577331
005,suppr_2,4,-0.07875318
005,suppr_2,5,-0.22482345
005,suppr_2,6,-0.14466476
005,suppr_2,7,-0.024749082
005,suppr_2,8,0.05788107
005,suppr_2,9,-0.14508724
006,act,0,1.4720279
006,act,1,-0.19770162
006,act,2,1.149342
006,act,3,2.1488578
006,act,4,1.0205894
006,act,5,2.8946211
006,act,6,1.315779
006,act,7,1.6577418
006,act,8,0.68292016
006,act,9,1.1558044
006,suppr_1,0,0.87316966
006,suppr_1,1,1.1067858
006,suppr_1,2,1.2205974
006,suppr_1,3,0.09165447
006,suppr_1,4,0.9616463
006,suppr_1,5,0.12930922
006,suppr_1,6,0.54215044
006,suppr_1,7,0.30736423
006,suppr_1,8,0.6448698
006,suppr_1,9,1.1412517
006,suppr_2,0,0.3406215
006,suppr_2,1,1.1704049
006,suppr_2,2,1.2130816
006,suppr_2,3,0.61936927
006,suppr_2,4,0.5254099
006,suppr_2,5,1.3456459
006,suppr_2,6,0.24898602
006,suppr_2,7,1.0843855
006,suppr_2,8,-0.019236093
006,suppr_2,9,1.6157279
008,act,0,0.31981176
008,act,1,2.2689748
008,act,2,0.6010477
008,act,3,2.5067203
008,act,4,1.1241874
008,act,5,0.4755772
008,act,6,0.062365863
008,act,7,0.98903626
008,act,8,0.38525498
008,act,9,0.57049465
008,suppr_1,0,0.097800136
008,suppr_1,1,-0.14412974
008,suppr_1,2,0.048834655
008,suppr_1,3,0.745603
008,suppr_1,4,0.5410443
008,suppr_1,5,0.6944185
008,suppr_1,6,0.4695038
008,suppr_1,7,0.8239547
008,suppr_1,8,0.25399354
008,suppr_1,9,-0.2903277
008,suppr_2,0,-0.32264158
008,suppr_2,1,0.114754036
008,suppr_2,2,0.6754756
008,suppr_2,3,-0.055271022
008,suppr_2,4,0.20443375
008,suppr_2,5,-0.3129705
008,suppr_2,6,-1.0221115
008,suppr_2,7,0.5342497
008,suppr_2,8,1.162043
008,suppr_2,9,0.16412118
010,act,0,1.2173771
010,act,1,1.1336317
010,act,2,1.2298691
010,act,3,-0.16556768
010,act,4,0.089009956
010,act,5,0.61860293
010,act,6,1.4250891
010,act,7,1.6040733
010,act,8,0.47968554
010,act,9,1.0491084
010,suppr_1,0,-0.6201412
010,suppr_1,1,-1.0943041
010,suppr_1,2,0.3412847
010,suppr_1,3,-0.19206272
010,suppr_1,4,0.21197191
010,suppr_1,5,-0.0942019
010,suppr_1,6,-0.7869383
010,suppr_1,7,1.264363
010,suppr_1,8,1.2290275
010,suppr_1,9,0.46806183
010,suppr_2,0,-0.1874988
010,suppr_2,1,0.40155768
010,suppr_2,2,0.96292734
010,suppr_2,3,-0.3656743
010,suppr_2,4,-0.5632226
010,suppr_2,5,0.7510886
010,suppr_2,6,1.2057798
010,suppr_2,7,0.94616497
